Value,GROUPVEG,EVT_PHYS,CHANGE
88,Riparian,Riparian,1
89,Riparian,Riparian,1
90,Riparian,Riparian,1
1155,Conifer,Agricultural,4
1160,Conifer,Agricultural,4
1167,Conifer,Agricultural,4
1181,Conifer,Agricultural,4
95,Riparian,Riparian,2
1236,Conifer,Agricultural,4
97,Riparian,Conifer,2
98,Riparian,Riparian,2
99,Riparian,Riparian,1
100,Riparian,Riparian,1
1245,Conifer,Agricultural,4
102,Riparian,Riparian,2
103,Riparian,Exotic Tree-Shrub,3
1250,Conifer,Agricultural,4
1271,Conifer,Agricultural,4
1308,Conifer,Agricultural,4
1351,Conifer,Agricultural,4
108,Riparian,Riparian,2
1352,Conifer,Agricultural,4
1416,Conifer,Agricultural,4
1459,Conifer,Agricultural,4
1494,Conifer,Agricultural,4
113,Riparian,Riparian,2
114,Riparian,Conifer,1
115,Riparian,Riparian,2
116,Riparian,Riparian,1
117,Riparian,Conifer-Hardwood,1
1528,Conifer,Agricultural,4
1531,Conifer,Agricultural,4
120,Riparian,Hardwood,2
1656,Conifer,Agricultural,4
122,Riparian,Riparian,2
1668,Conifer,Agricultural,4
124,Riparian,Riparian,2
1672,Conifer,Agricultural,4
1675,Conifer,Agricultural,4
127,Riparian,Riparian,2
128,Riparian,Riparian,1
1676,Conifer,Agricultural,4
130,Riparian,Conifer,2
1703,Conifer,Agricultural,4
1711,Conifer,Agricultural,4
133,Riparian,Riparian,2
1718,Conifer,Agricultural,4
135,Riparian,Agricultural,4
1719,Conifer,Agricultural,4
1745,Conifer,Agricultural,4
1748,Conifer,Agricultural,4
1749,Conifer,Agricultural,4
1755,Conifer,Agricultural,4
1840,Conifer,Agricultural,4
1845,Conifer,Agricultural,4
1854,Conifer,Agricultural,4
1898,Conifer,Agricultural,4
1905,Conifer,Agricultural,4
148,Hardwood,Conifer,2
2078,Conifer,Agricultural,4
2514,Conifer,Agricultural,4
151,Riparian,Riparian,2
2626,Conifer,Agricultural,4
2694,Conifer,Agricultural,4
154,Riparian,Conifer-Hardwood,2
155,Hardwood,Conifer,2
156,Hardwood,Conifer,2
157,Hardwood,Riparian,2
2699,Conifer,Agricultural,4
159,Hardwood,Riparian,2
160,Hardwood,Hardwood,2
161,Hardwood,Riparian,1
162,Hardwood,Hardwood,2
163,Riparian,Agricultural,4
164,Riparian,Agricultural,4
2712,Conifer,Agricultural,4
166,Riparian,Hardwood,2
167,Riparian,Hardwood,2
168,Riparian,Conifer,2
2714,Conifer,Agricultural,4
170,Riparian,Agricultural,4
2898,Conifer,Agricultural,4
172,Riparian,Agricultural,4
2905,Conifer,Agricultural,4
174,Riparian,Agricultural,4
2948,Conifer,Agricultural,4
2985,Conifer,Agricultural,4
177,Hardwood,Riparian,2
178,Riparian,Grassland,2
179,Hardwood,Conifer,2
180,Hardwood,Riparian,2
181,Hardwood,Riparian,2
3043,Conifer,Agricultural,4
183,Hardwood,Exotic Herbaceous,3
184,Hardwood,Riparian,2
3142,Conifer,Agricultural,4
186,Hardwood-Conifer,Conifer,2
187,Hardwood,Riparian,2
188,Hardwood-Conifer,Conifer,2
190,Hardwood-Conifer,Hardwood,2
191,Hardwood-Conifer,Conifer,2
192,Hardwood-Conifer,Conifer-Hardwood,2
3169,Conifer,Agricultural,4
194,Riparian,Conifer-Hardwood,2
3171,Conifer,Agricultural,4
3233,Conifer,Agricultural,4
197,Hardwood-Conifer,Hardwood,2
200,Riparian,Conifer-Hardwood,2
201,Hardwood-Conifer,Riparian,2
202,Hardwood-Conifer,Riparian,2
203,Hardwood-Conifer,Conifer,2
204,Hardwood-Conifer,Developed,5
3234,Conifer,Agricultural,4
206,Hardwood-Conifer,Developed,5
207,Hardwood,Exotic Tree-Shrub,3
3389,Conifer,Agricultural,4
3399,Conifer,Agricultural,4
210,Hardwood-Conifer,Exotic Tree-Shrub,3
3400,Conifer,Agricultural,4
212,Hardwood-Conifer,Exotic Herbaceous,3
3425,Conifer,Agricultural,4
3479,Conifer,Agricultural,4
3495,Conifer,Agricultural,4
3501,Conifer,Agricultural,4
3588,Conifer,Agricultural,4
218,Riparian,Riparian,2
3591,Conifer,Agricultural,4
3688,Conifer,Agricultural,4
3827,Conifer,Agricultural,4
222,Hardwood-Conifer,Developed,5
3829,Conifer,Agricultural,4
224,Hardwood-Conifer,Developed-Low Intensity,5
225,Hardwood-Conifer,Developed,5
226,Hardwood,Riparian,2
3831,Conifer,Agricultural,4
228,Riparian,Developed-Roads,5
229,Hardwood-Conifer,Conifer-Hardwood,2
3919,Conifer,Agricultural,4
3925,Conifer,Agricultural,4
3927,Conifer,Agricultural,4
3934,Conifer,Agricultural,4
234,Riparian,Riparian,2
235,Hardwood,Conifer-Hardwood,1
236,Riparian,Developed,5
237,Riparian,Developed,5
3967,Conifer,Agricultural,4
239,Riparian,Developed,5
240,Riparian,Developed-Roads,5
241,Hardwood,Developed-Roads,5
242,Riparian,Developed,5
243,Hardwood-Conifer,Developed-Roads,5
244,Riparian,Developed,5
245,Hardwood-Conifer,Developed-Medium Intensity,5
246,Hardwood,Conifer-Hardwood,2
3969,Conifer,Agricultural,4
3970,Conifer,Agricultural,4
249,Hardwood-Conifer,Riparian,2
250,Hardwood,Developed,5
3992,Conifer,Agricultural,4
4004,Conifer,Agricultural,4
4043,Conifer,Agricultural,4
254,Riparian,Riparian,2
4045,Conifer,Agricultural,4
256,Hardwood,Riparian,2
258,Hardwood-Conifer,Developed,5
259,Hardwood,Hardwood,2
260,Hardwood,Agricultural,4
261,Hardwood,Riparian,2
262,Hardwood,Riparian,2
263,Hardwood,Conifer,2
264,Hardwood,Hardwood,2
265,Riparian,Riparian,1
4868,Conifer,Agricultural,4
267,Hardwood,Riparian,2
268,Riparian,Riparian,2
269,Riparian,Developed-Low Intensity,5
270,Riparian,Riparian,2
271,Riparian,Developed,5
6437,Conifer,Agricultural,4
6539,Conifer,Agricultural,4
6669,Conifer,Agricultural,4
276,Riparian,Hardwood,2
5,Conifer,Conifer,2
278,Riparian,Developed,5
279,Riparian,Developed-Low Intensity,5
280,Hardwood-Conifer,Riparian,2
281,Riparian,Riparian,2
282,Riparian,Riparian,1
283,Riparian,Developed-High Intensity,5
284,Riparian,Riparian,2
6,Conifer,Conifer,1
8,Conifer,Conifer,1
10,Conifer,Conifer,1
288,Riparian,Riparian,1
289,Riparian,Developed-High Intensity,5
14,Conifer,Conifer,2
39,Conifer,Conifer,1
292,Riparian,Developed-Medium Intensity,5
41,Conifer,Conifer,2
44,Conifer,Conifer,1
52,Conifer,Conifer,1
296,Riparian,Conifer-Hardwood,1
68,Conifer,Conifer,2
78,Conifer,Conifer,1
82,Conifer,Conifer,1
300,Hardwood,Conifer,1
104,Conifer,Conifer,2
302,Riparian,Hardwood,1
138,Conifer,Conifer,2
304,Riparian,Conifer-Hardwood,1
305,Riparian,Developed,5
306,Riparian,Developed,5
307,Hardwood,Riparian,2
145,Conifer,Conifer,2
149,Conifer,Conifer,1
310,Riparian,Riparian,1
311,Riparian,Conifer,1
150,Conifer,Conifer,2
182,Conifer,Conifer,1
213,Conifer,Conifer,1
315,Riparian,Riparian,1
230,Conifer,Conifer,1
317,Hardwood,Conifer,1
318,Riparian,Conifer,2
319,Hardwood,Riparian,2
320,Riparian,Riparian,2
316,Conifer,Conifer,1
322,Conifer,Conifer,1
323,Riparian,Developed,5
324,Riparian,Developed,5
325,Riparian,Conifer,2
326,Riparian,Riparian,2
327,Riparian,Hardwood,1
328,Riparian,Conifer,2
329,Hardwood,Riparian,2
330,Riparian,Exotic Herbaceous,3
331,Riparian,Riparian,2
332,Riparian,Conifer,1
353,Conifer,Conifer,2
355,Conifer,Conifer,1
356,Conifer,Conifer,1
336,Hardwood,Riparian,1
337,Riparian,Conifer-Hardwood,2
357,Conifer,Conifer,2
339,Riparian,Riparian,1
375,Conifer,Conifer,1
386,Conifer,Conifer,1
342,Riparian,Hardwood,1
343,Riparian,Riparian,2
344,Riparian,Riparian,1
345,Riparian,Conifer,1
346,Riparian,Riparian,2
347,Riparian,Riparian,1
460,Conifer,Conifer,1
511,Conifer,Conifer,1
560,Conifer,Conifer,1
561,Conifer,Conifer,1
352,Hardwood,Hardwood,1
566,Conifer,Conifer,1
569,Conifer,Conifer,1
570,Conifer,Conifer,1
575,Conifer,Conifer,1
578,Conifer,Conifer,1
579,Conifer,Conifer,1
584,Conifer,Conifer,1
593,Conifer,Conifer,1
595,Conifer,Conifer,1
672,Conifer,Conifer,1
363,Riparian,Developed,5
364,Riparian,Agricultural,4
678,Conifer,Conifer,2
681,Conifer,Conifer,1
691,Conifer,Conifer,1
695,Conifer,Conifer,1
369,Riparian,Exotic Tree-Shrub,3
370,Hardwood,Conifer,2
696,Conifer,Conifer,2
705,Conifer,Conifer,1
373,Riparian,Developed-Roads,5
706,Conifer,Conifer,2
731,Conifer,Conifer,1
376,Hardwood,Developed,5
377,Riparian,Developed-Roads,5
378,Hardwood,Hardwood,2
379,Riparian,Developed,5
744,Conifer,Conifer,2
753,Conifer,Conifer,1
781,Conifer,Conifer,1
797,Conifer,Conifer,1
384,Hardwood,Hardwood,1
385,Riparian,Conifer-Hardwood,1
828,Conifer,Conifer,2
854,Conifer,Conifer,1
388,Hardwood-Conifer,Conifer,1
389,Hardwood,Conifer,2
390,Hardwood,Conifer-Hardwood,2
962,Conifer,Conifer,2
392,Hardwood,Conifer-Hardwood,1
972,Conifer,Conifer,2
988,Conifer,Conifer,1
1071,Conifer,Conifer,1
1154,Conifer,Conifer,1
1317,Conifer,Conifer,1
1429,Conifer,Conifer,1
399,Hardwood,Conifer,1
1433,Conifer,Conifer,2
1449,Conifer,Conifer,1
402,Hardwood,Developed-Low Intensity,5
1515,Conifer,Conifer,2
1523,Conifer,Conifer,1
405,Hardwood,Exotic Herbaceous,3
406,Riparian,Developed,5
1541,Conifer,Conifer,2
408,Riparian,Conifer,1
1592,Conifer,Conifer,2
410,Riparian,Conifer-Hardwood,1
1650,Conifer,Conifer,2
1669,Conifer,Conifer,1
413,Riparian,Developed,5
1713,Conifer,Conifer,2
1781,Conifer,Conifer,1
416,Hardwood-Conifer,Riparian,1
417,Riparian,Riparian,2
1842,Conifer,Conifer,1
1981,Conifer,Conifer,1
420,Hardwood,Developed-Roads,5
1986,Conifer,Conifer,2
422,Hardwood,Riparian,1
2003,Conifer,Conifer,2
2081,Conifer,Conifer,1
425,Hardwood,Riparian,1
426,Hardwood,Riparian,2
427,Hardwood,Exotic Tree-Shrub,3
428,Hardwood,Riparian,2
429,Hardwood,Riparian,2
2526,Conifer,Conifer,2
431,Riparian,Riparian,1
432,Hardwood,Developed,5
433,Hardwood,Developed,5
434,Riparian,Developed,5
2727,Conifer,Conifer,2
2903,Conifer,Conifer,1
437,Riparian,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,4
438,Hardwood,Developed,5
3062,Conifer,Conifer,2
440,Hardwood,Developed,5
441,Hardwood,Riparian,2
442,Hardwood,Developed-Low Intensity,5
443,Hardwood,Developed,5
444,Hardwood,Developed,5
445,Hardwood,Riparian,2
446,Hardwood,Developed,5
447,Hardwood,Developed,5
448,Riparian,Developed,5
449,Riparian,Developed,5
450,Riparian,Developed,5
451,Hardwood,Developed,5
3088,Conifer,Conifer,2
453,Hardwood,Developed,5
454,Hardwood,Conifer-Hardwood,2
3137,Conifer,Conifer,2
3207,Conifer,Conifer,1
457,Hardwood,Agricultural,4
3277,Conifer,Conifer,2
459,Hardwood,Developed,5
3359,Conifer,Conifer,2
3387,Conifer,Conifer,1
3391,Conifer,Conifer,1
3394,Conifer,Conifer,1
3477,Conifer,Conifer,1
465,Hardwood,Developed,5
466,Hardwood,Conifer,2
467,Hardwood,Riparian,2
468,Hardwood,Hardwood,2
469,Hardwood,Developed,5
470,Hardwood,Developed,5
471,Hardwood-Conifer,Riparian,2
472,Hardwood-Conifer,Hardwood,2
3483,Conifer,Conifer,2
474,Hardwood-Conifer,Riparian,1
475,Hardwood,Conifer,2
476,Riparian,Riparian,2
477,Hardwood-Conifer,Conifer,1
478,Riparian,Riparian,2
479,Hardwood-Conifer,Conifer-Hardwood,1
480,Hardwood-Conifer,Riparian,2
481,Hardwood-Conifer,Developed,5
482,Hardwood-Conifer,Hardwood,2
3489,Conifer,Conifer,2
3498,Conifer,Conifer,1
485,Hardwood-Conifer,Riparian,1
3719,Conifer,Conifer,2
487,Riparian,Hardwood,1
488,Hardwood,Agricultural,4
489,Hardwood,Developed,5
490,Hardwood,Developed,5
491,Hardwood,Developed,5
3816,Conifer,Conifer,2
493,Riparian,Riparian,1
494,Hardwood,Agricultural,4
495,Hardwood,Developed,5
496,Riparian,Developed-Low Intensity,5
497,Riparian,Developed,5
498,Riparian,Developed,5
3835,Conifer,Conifer,2
3836,Conifer,Conifer,1
3837,Conifer,Conifer,1
3916,Conifer,Conifer,1
3929,Conifer,Conifer,1
3978,Conifer,Conifer,1
4034,Conifer,Conifer,1
4068,Conifer,Conifer,1
4186,Conifer,Conifer,1
4444,Conifer,Conifer,1
36,Conifer,Conifer-Hardwood,1
70,Conifer,Conifer-Hardwood,2
106,Conifer,Conifer-Hardwood,2
125,Conifer,Conifer-Hardwood,2
126,Conifer,Conifer-Hardwood,2
143,Conifer,Conifer-Hardwood,2
144,Conifer,Conifer-Hardwood,2
185,Conifer,Conifer-Hardwood,2
193,Conifer,Conifer-Hardwood,2
214,Conifer,Conifer-Hardwood,2
358,Conifer,Conifer-Hardwood,2
520,Riparian,Conifer-Hardwood,2
521,Riparian,Developed,5
522,Riparian,Developed,5
523,Riparian,Developed,5
524,Riparian,Riparian,2
525,Riparian,Developed,5
393,Conifer,Conifer-Hardwood,2
394,Conifer,Conifer-Hardwood,2
407,Conifer,Conifer-Hardwood,2
529,Riparian,Riparian,2
530,Hardwood,Conifer-Hardwood,1
411,Conifer,Conifer-Hardwood,2
461,Conifer,Conifer-Hardwood,2
464,Conifer,Conifer-Hardwood,2
534,Riparian,Riparian,2
535,Riparian,Riparian,1
536,Riparian,Riparian,1
537,Riparian,Developed-Medium Intensity,5
538,Riparian,Developed,5
508,Conifer,Conifer-Hardwood,2
540,Riparian,Agricultural,4
543,Conifer,Conifer-Hardwood,2
592,Conifer,Conifer-Hardwood,2
594,Conifer,Conifer-Hardwood,2
630,Conifer,Conifer-Hardwood,2
545,Riparian,Conifer,2
546,Hardwood-Conifer,Agricultural,4
547,Riparian,Riparian,2
548,Riparian,Riparian,1
676,Conifer,Conifer-Hardwood,1
551,Hardwood,Riparian,2
686,Conifer,Conifer-Hardwood,2
553,Riparian,Conifer-Hardwood,2
554,Hardwood,Riparian,2
555,Hardwood,Riparian,2
556,Riparian,Hardwood,2
721,Conifer,Conifer-Hardwood,2
796,Conifer,Conifer-Hardwood,2
798,Conifer,Conifer-Hardwood,2
799,Conifer,Conifer-Hardwood,2
816,Conifer,Conifer-Hardwood,2
913,Conifer,Conifer-Hardwood,2
951,Conifer,Conifer-Hardwood,2
1022,Conifer,Conifer-Hardwood,2
1152,Conifer,Conifer-Hardwood,2
1162,Conifer,Conifer-Hardwood,2
568,Riparian,Conifer,2
1182,Conifer,Conifer-Hardwood,2
1192,Conifer,Conifer-Hardwood,2
1193,Conifer,Conifer-Hardwood,2
1281,Conifer,Conifer-Hardwood,2
1360,Conifer,Conifer-Hardwood,2
1425,Conifer,Conifer-Hardwood,2
1430,Conifer,Conifer-Hardwood,2
576,Riparian,Developed-Roads,5
1540,Conifer,Conifer-Hardwood,2
1545,Conifer,Conifer-Hardwood,2
1590,Conifer,Conifer-Hardwood,2
1712,Conifer,Conifer-Hardwood,2
1753,Conifer,Conifer-Hardwood,2
582,Riparian,Conifer,2
1760,Conifer,Conifer-Hardwood,2
1844,Conifer,Conifer-Hardwood,2
1896,Conifer,Conifer-Hardwood,2
1991,Conifer,Conifer-Hardwood,2
2084,Conifer,Conifer-Hardwood,2
588,Riparian,Developed,5
2536,Conifer,Conifer-Hardwood,2
2686,Conifer,Conifer-Hardwood,2
591,Riparian,Developed,5
3127,Conifer,Conifer-Hardwood,2
3152,Conifer,Conifer-Hardwood,2
3240,Conifer,Conifer-Hardwood,2
3261,Conifer,Conifer-Hardwood,2
596,Riparian,Riparian,2
597,Riparian,Developed-Roads,5
3278,Conifer,Conifer-Hardwood,2
599,Riparian,Conifer,2
600,Riparian,Conifer,2
3395,Conifer,Conifer-Hardwood,2
3396,Conifer,Conifer-Hardwood,2
603,Riparian,Riparian,2
604,Riparian,Conifer,1
605,Riparian,Hardwood,2
3398,Conifer,Conifer-Hardwood,2
3497,Conifer,Conifer-Hardwood,2
3499,Conifer,Conifer-Hardwood,2
609,Riparian,Riparian,2
610,Riparian,Developed,5
3508,Conifer,Conifer-Hardwood,2
612,Riparian,Hardwood,2
613,Riparian,Conifer,2
614,Riparian,Riparian,2
3854,Conifer,Conifer-Hardwood,1
616,Riparian,Conifer,2
617,Riparian,Developed,5
618,Riparian,Hardwood,2
619,Riparian,Riparian,2
620,Riparian,Riparian,1
621,Riparian,Developed,5
622,Riparian,Developed,5
623,Riparian,Developed,5
624,Riparian,Riparian,2
3917,Conifer,Conifer-Hardwood,1
626,Hardwood-Conifer,Hardwood,2
3922,Conifer,Conifer-Hardwood,2
628,Riparian,Riparian,2
629,Riparian,Conifer,1
3940,Conifer,Conifer-Hardwood,2
631,Riparian,Conifer-Hardwood,2
3977,Conifer,Conifer-Hardwood,2
633,Riparian,Riparian,2
634,Riparian,Hardwood,1
635,Riparian,Exotic Tree-Shrub,3
636,Hardwood-Conifer,Conifer,2
637,Riparian,Riparian,2
638,Riparian,Riparian,1
3980,Conifer,Conifer-Hardwood,1
640,Riparian,Conifer,2
641,Riparian,Riparian,2
3987,Conifer,Conifer-Hardwood,1
643,Riparian,Riparian,2
644,Riparian,Riparian,1
3994,Conifer,Conifer-Hardwood,1
4463,Conifer,Conifer-Hardwood,2
647,Riparian,Riparian,2
648,Riparian,Riparian,1
649,Riparian,Riparian,1
4538,Conifer,Conifer-Hardwood,1
134,Conifer,Developed,5
652,Riparian,Riparian,2
653,Riparian,Riparian,1
654,Riparian,Conifer,1
655,Riparian,Hardwood,2
656,Riparian,Riparian,2
657,Riparian,Developed-Low Intensity,5
658,Riparian,Riparian,2
659,Riparian,Conifer,1
660,Riparian,Developed-High Intensity,5
661,Riparian,Developed,5
662,Riparian,Riparian,2
663,Riparian,Agricultural,4
205,Conifer,Developed,5
665,Riparian,Conifer,2
215,Conifer,Developed,5
216,Conifer,Developed,5
668,Riparian,Conifer,2
669,Riparian,Exotic Herbaceous,3
670,Riparian,Riparian,2
221,Conifer,Developed,5
223,Conifer,Developed,5
231,Conifer,Developed,5
674,Riparian,Developed-Medium Intensity,5
675,Riparian,Exotic Tree-Shrub,3
232,Conifer,Developed,5
677,Riparian,Developed-Roads,5
251,Conifer,Developed,5
266,Conifer,Developed,5
274,Conifer,Developed,5
277,Conifer,Developed,5
287,Conifer,Developed,5
683,Riparian,Conifer-Hardwood,2
684,Hardwood,Conifer,2
290,Conifer,Developed,5
293,Conifer,Developed,5
687,Hardwood,Conifer,2
688,Hardwood,Hardwood,2
689,Hardwood,Hardwood,1
690,Riparian,Exotic Herbaceous,3
295,Conifer,Developed,5
692,Hardwood,Conifer,2
693,Hardwood,Conifer,2
694,Riparian,Developed-Medium Intensity,5
298,Conifer,Developed,5
299,Conifer,Developed,5
697,Riparian,Developed,5
308,Conifer,Developed,5
699,Hardwood,Conifer-Hardwood,2
309,Conifer,Developed,5
701,Riparian,Developed,5
702,Riparian,Developed,5
703,Riparian,Developed,5
704,Riparian,Developed-Low Intensity,5
338,Conifer,Developed,5
340,Conifer,Developed,5
707,Hardwood,Conifer-Hardwood,2
708,Riparian,Riparian,2
341,Conifer,Developed,5
710,Riparian,Conifer,2
711,Hardwood-Conifer,Conifer,2
712,Hardwood-Conifer,Conifer-Hardwood,2
713,Hardwood,Riparian,2
714,Riparian,Conifer,2
351,Conifer,Developed,5
361,Conifer,Developed,5
365,Conifer,Developed,5
718,Riparian,Riparian,2
366,Conifer,Developed,5
720,Riparian,Conifer,2
367,Conifer,Developed,5
722,Riparian,Riparian,2
723,Hardwood,Conifer,1
724,Hardwood,Developed-Low Intensity,5
371,Conifer,Developed,5
726,Hardwood,Developed,5
727,Hardwood,Developed,5
728,Hardwood,Developed-Roads,5
729,Hardwood,Exotic Herbaceous,3
730,Riparian,Riparian,2
374,Conifer,Developed,5
732,Hardwood-Conifer,Conifer-Hardwood,2
733,Hardwood,Hardwood,2
383,Conifer,Developed,5
391,Conifer,Developed,5
736,Riparian,Agricultural,4
737,Riparian,Conifer,2
398,Conifer,Developed,5
739,Riparian,Conifer-Hardwood,2
401,Conifer,Developed,5
414,Conifer,Developed,5
742,Hardwood,Agricultural,4
743,Hardwood,Agricultural,4
430,Conifer,Developed,5
435,Conifer,Developed,5
746,Hardwood,Developed,5
747,Hardwood,Developed,5
748,Hardwood-Conifer,Conifer,2
749,Riparian,Hardwood,2
750,Hardwood,Developed,5
751,Hardwood,Exotic Tree-Shrub,3
752,Riparian,Developed,5
484,Conifer,Developed,5
499,Conifer,Developed,5
500,Conifer,Developed,5
502,Conifer,Developed,5
757,Riparian,Agricultural,4
758,Hardwood,Developed-Medium Intensity,5
759,Riparian,Agricultural,4
504,Conifer,Developed,5
761,Riparian,Hardwood,2
762,Hardwood-Conifer,Developed,5
763,Hardwood-Conifer,Developed,5
764,Hardwood-Conifer,Riparian,2
506,Conifer,Developed,5
510,Conifer,Developed,5
767,Riparian,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,4
768,Hardwood-Conifer,Agricultural,4
513,Conifer,Developed,5
517,Conifer,Developed,5
518,Conifer,Developed,5
772,Riparian,Riparian,2
773,Hardwood-Conifer,Riparian,1
774,Hardwood-Conifer,Developed,5
775,Hardwood,Developed-Medium Intensity,5
519,Conifer,Developed,5
777,Hardwood,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,4
778,Hardwood,Developed,5
779,Hardwood,Riparian,2
532,Conifer,Developed,5
552,Conifer,Developed,5
782,Hardwood-Conifer,Hardwood,2
783,Hardwood-Conifer,Conifer,2
784,Hardwood-Conifer,Conifer,2
785,Hardwood-Conifer,Exotic Herbaceous,3
786,Riparian,Conifer,2
571,Conifer,Developed,5
577,Conifer,Developed,5
789,Hardwood,Developed,5
790,Riparian,Exotic Tree-Shrub,3
581,Conifer,Developed,5
792,Hardwood,Developed-Medium Intensity,5
583,Conifer,Developed,5
794,Riparian,Riparian,2
795,Riparian,Riparian,1
585,Conifer,Developed,5
587,Conifer,Developed,5
589,Conifer,Developed,5
602,Conifer,Developed,5
607,Conifer,Developed,5
801,Riparian,Riparian,2
608,Conifer,Developed,5
803,Riparian,Riparian,2
804,Hardwood-Conifer,Developed,5
805,Riparian,Riparian,2
615,Conifer,Developed,5
667,Conifer,Developed,5
682,Conifer,Developed,5
809,Riparian,Exotic Herbaceous,3
810,Hardwood,Conifer,2
698,Conifer,Developed,5
812,Riparian,Riparian,2
813,Hardwood-Conifer,Developed-Roads,5
814,Hardwood,Conifer,2
815,Riparian,Conifer-Hardwood,2
700,Conifer,Developed,5
817,Riparian,Conifer,2
818,Hardwood,Conifer-Hardwood,2
819,Riparian,Riparian,2
820,Hardwood-Conifer,Conifer,1
821,Hardwood-Conifer,Riparian,2
717,Conifer,Developed,5
823,Hardwood,Hardwood,2
824,Riparian,Conifer,1
825,Riparian,Conifer,2
740,Conifer,Developed,5
827,Hardwood,Agricultural,4
741,Conifer,Developed,5
755,Conifer,Developed,5
830,Riparian,Conifer-Hardwood,2
831,Hardwood,Agricultural,4
756,Conifer,Developed,5
833,Hardwood-Conifer,Riparian,2
834,Hardwood-Conifer,Developed,5
835,Hardwood-Conifer,Riparian,2
787,Conifer,Developed,5
837,Hardwood-Conifer,Developed,5
838,Hardwood-Conifer,Conifer,2
839,Riparian,Developed-Low Intensity,5
788,Conifer,Developed,5
841,Riparian,Conifer,2
791,Conifer,Developed,5
843,Riparian,Hardwood,2
844,Hardwood-Conifer,Developed,5
845,Hardwood-Conifer,Developed,5
846,Hardwood-Conifer,Riparian,2
840,Conifer,Developed,5
848,Hardwood-Conifer,Developed-Low Intensity,5
849,Riparian,Riparian,2
850,Riparian,Hardwood,1
851,Hardwood-Conifer,Riparian,2
852,Hardwood-Conifer,Developed,5
861,Conifer,Developed,5
872,Conifer,Developed,5
855,Hardwood-Conifer,Developed,5
856,Hardwood,Shrubland,2
857,Hardwood-Conifer,Developed-Medium Intensity,5
977,Conifer,Developed,5
859,Hardwood-Conifer,Exotic Tree-Shrub,3
860,Riparian,Riparian,2
989,Conifer,Developed,5
862,Hardwood-Conifer,Developed-High Intensity,5
863,Hardwood-Conifer,Developed-Roads,5
864,Hardwood-Conifer,Developed-Medium Intensity,5
865,Hardwood-Conifer,Developed-Low Intensity,5
866,Hardwood-Conifer,Developed,5
867,Riparian,Hardwood,2
868,Riparian,Developed,5
869,Riparian,Conifer-Hardwood,2
870,Riparian,Developed,5
871,Riparian,Riparian,2
992,Conifer,Developed,5
873,Hardwood-Conifer,Riparian,2
